행정구역,2026년04월_거주자_총인구수,2026년04월_거주자_연령구간인구수,2026년04월_거주자_0세,2026년04월_거주자_1세,2026년04월_거주자_2세,2026년04월_거주자_3세,2026년04월_거주자_4세,2026년04월_거주자_5세,2026년04월_거주자_6세,2026년04월_거주자_7세,2026년04월_거주자_8세,2026년04월_거주자_9세,2026년04월_거주자_10세,2026년04월_거주자_11세,2026년04월_거주자_12세,2026년04월_거주자_13세,2026년04월_거주자_14세,2026년04월_거주자_15세,2026년04월_거주자_16세,2026년04월_거주자_17세,2026년04월_거주자_18세,2026년04월_거주자_19세,2026년04월_거주자_20세,2026년04월_거주자_21세,2026년04월_거주자_22세,2026년04월_거주자_23세,2026년04월_거주자_24세,2026년04월_거주자_25세,2026년04월_거주자_26세,2026년04월_거주자_27세,2026년04월_거주자_28세,2026년04월_거주자_29세,2026년04월_거주자_30세,2026년04월_거주자_31세,2026년04월_거주자_32세,2026년04월_거주자_33세,2026년04월_거주자_34세,2026년04월_거주자_35세,2026년04월_거주자_36세,2026년04월_거주자_37세,2026년04월_거주자_38세,2026년04월_거주자_39세,2026년04월_거주자_40세,2026년04월_거주자_41세,2026년04월_거주자_42세,2026년04월_거주자_43세,2026년04월_거주자_44세,2026년04월_거주자_45세,2026년04월_거주자_46세,2026년04월_거주자_47세,2026년04월_거주자_48세,2026년04월_거주자_49세,2026년04월_거주자_50세,2026년04월_거주자_51세,2026년04월_거주자_52세,2026년04월_거주자_53세,2026년04월_거주자_54세,2026년04월_거주자_55세,2026년04월_거주자_56세,2026년04월_거주자_57세,2026년04월_거주자_58세,2026년04월_거주자_59세,2026년04월_거주자_60세,2026년04월_거주자_61세,2026년04월_거주자_62세,2026년04월_거주자_63세,2026년04월_거주자_64세,2026년04월_거주자_65세,2026년04월_거주자_66세,2026년04월_거주자_67세,2026년04월_거주자_68세,2026년04월_거주자_69세,2026년04월_거주자_70세,2026년04월_거주자_71세,2026년04월_거주자_72세,2026년04월_거주자_73세,2026년04월_거주자_74세,2026년04월_거주자_75세,2026년04월_거주자_76세,2026년04월_거주자_77세,2026년04월_거주자_78세,2026년04월_거주자_79세,2026년04월_거주자_80세,2026년04월_거주자_81세,2026년04월_거주자_82세,2026년04월_거주자_83세,2026년04월_거주자_84세,2026년04월_거주자_85세,2026년04월_거주자_86세,2026년04월_거주자_87세,2026년04월_거주자_88세,2026년04월_거주자_89세,2026년04월_거주자_90세,2026년04월_거주자_91세,2026년04월_거주자_92세,2026년04월_거주자_93세,2026년04월_거주자_94세,2026년04월_거주자_95세,2026년04월_거주자_96세,2026년04월_거주자_97세,2026년04월_거주자_98세,2026년04월_거주자_99세,2026년04월_거주자_100세 이상
서울특별시 도봉구 (1132000000),"297,059","297,059","1,080",970,884,974,"1,102","1,039","1,190","1,257","1,463","1,575","1,855","1,921","1,800","2,065","2,087","2,257","2,049","2,190","2,407","2,367","2,286","2,562","2,863","2,843","3,207","3,503","3,767","3,697","3,948","3,892","4,071","4,104","4,001","4,025","4,021","3,590","3,374","3,346","3,163","3,197","3,417","3,427","3,723","4,002","4,282","4,321","4,206","3,728","3,877","3,894","4,171","4,548","4,960","5,083","5,448","5,629","5,388","5,641","5,186","5,033","5,158","5,169","4,698","5,532","5,257","6,091","5,663","5,260","5,247","4,847","4,620","4,712","3,597","3,769","3,089","2,786","2,914","2,753","2,867","2,701","1,964","1,934","1,974","2,131","2,039","1,537","1,359","1,209",942,798,634,481,388,283,205,130,116,80,61,37,71
서울특별시 노원구 (1135000000),"479,965","479,965","2,396","2,009","1,806","1,893","1,948","2,033","2,211","2,421","2,719","3,179","3,583","3,841","3,839","4,286","4,341","4,515","4,231","4,632","5,292","5,301","5,212","5,597","6,145","5,899","6,035","6,728","6,280","5,997","6,169","6,086","6,453","6,411","6,469","6,785","6,556","5,981","5,887","5,718","5,405","5,525","5,638","5,529","6,402","6,788","7,446","7,446","7,573","6,773","7,219","7,075","7,422","8,005","8,543","8,583","9,001","8,963","8,521","8,570","7,575","7,219","7,264","7,142","6,476","7,645","7,310","8,049","7,558","7,114","6,972","6,383","6,217","6,454","4,918","5,070","4,156","3,736","3,959","3,691","3,797","3,606","2,509","2,618","2,571","2,864","2,574","1,874","1,706","1,550","1,345","1,084",921,711,538,431,299,223,165,128,99,50,83
서울특별시 은평구 (1138000000),"450,831","450,831","2,068","1,845","1,664","1,748","1,791","1,906","1,962","2,081","2,271","2,609","2,916","3,018","2,885","3,265","3,281","3,437","3,366","3,514","3,817","3,668","3,575","3,866","4,366","4,535","5,041","6,039","6,524","6,519","7,007","7,201","7,314","7,427","7,515","7,551","7,193","6,507","6,144","5,806","5,528","5,550","5,536","5,445","6,202","6,611","6,947","6,839","7,006","6,088","6,371","6,292","6,700","7,139","7,719","7,900","8,296","8,138","7,805","8,008","6,994","6,904","6,832","6,819","6,409","7,183","6,927","7,591","7,418","6,793","6,478","6,033","5,882","5,997","4,629","4,910","3,970","3,844","3,944","3,778","3,962","3,688","2,731","2,672","2,642","2,944","2,702","1,960","1,767","1,609","1,209","1,086",827,675,484,329,242,177,134,117,71,41,65
서울특별시 서대문구 (1141000000),"298,046","298,046","1,414","1,386","1,267","1,316","1,428","1,384","1,494","1,572","1,711","1,930","2,070","2,138","2,015","2,106","1,987","2,185","2,059","2,085","2,380","2,769","3,042","3,468","3,942","4,153","4,556","5,184","5,071","5,042","4,961","5,094","5,047","4,855","4,808","4,938","4,859","4,412","4,222","4,031","3,930","3,972","3,960","3,860","4,144","4,383","4,530","4,439","4,281","3,943","3,971","3,924","4,067","4,321","4,757","4,891","5,202","5,183","4,943","4,893","4,452","4,175","4,285","4,350","3,855","4,349","4,164","4,649","4,297","4,025","3,911","3,544","3,409","3,473","2,682","2,822","2,237","2,131","2,395","2,220","2,309","2,308","1,616","1,696","1,595","1,942","1,732","1,250","1,229","1,080",860,766,625,461,311,248,177,124,105,76,49,40,47
서울특별시 마포구 (1144000000),"353,917","353,917","1,951","1,621","1,429","1,585","1,623","1,690","1,761","1,945","1,968","2,373","2,511","2,456","2,280","2,543","2,467","2,583","2,464","2,548","2,913","2,892","3,230","3,615","4,233","4,536","5,107","6,130","6,389","6,427","6,967","7,105","7,368","7,083","7,105","7,255","6,968","6,162","5,823","5,652","5,452","5,345","5,293","5,252","5,536","5,655","5,864","5,499","5,477","4,958","4,988","5,131","5,158","5,485","5,887","5,987","6,134","5,938","5,627","5,493","4,855","4,411","4,584","4,451","4,017","4,469","4,256","4,647","4,389","3,895","3,854","3,566","3,413","3,476","2,695","2,773","2,285","2,120","2,300","2,228","2,273","2,214","1,575","1,780","1,620","1,860","1,685","1,303","1,135","1,016",790,759,579,457,357,285,182,143,92,84,54,28,45
서울특별시 양천구 (1147000000),"420,607","420,607","1,605","1,605","1,436","1,676","1,854","2,168","2,400","2,823","3,159","3,681","4,013","4,301","4,594","4,980","4,777","4,900","4,510","4,628","4,870","4,143","3,860","3,921","3,937","3,920","4,129","4,826","5,028","5,057","5,415","5,283","5,499","5,465","5,471","5,438","5,438","4,958","4,747","4,714","4,683","5,007","5,517","5,627","6,434","7,078","7,561","7,580","7,781","7,002","6,998","6,853","6,992","7,183","7,371","7,363","7,561","7,429","7,066","7,168","6,402","6,191","6,204","6,288","5,772","6,658","6,140","6,921","6,595","6,042","5,715","5,511","5,288","5,455","4,223","4,363","3,529","3,179","3,341","3,136","2,990","2,787","1,807","2,026","1,751","1,919","1,659","1,251","1,148","1,006",807,695,554,458,363,271,217,138,93,85,57,26,63
서울특별시 강서구 (1150000000),"545,653","545,653","2,748","2,564","2,155","2,268","2,399","2,487","2,679","2,686","2,923","3,277","3,802","3,645","3,646","4,092","4,079","4,110","3,762","4,049","4,481","4,097","4,024","4,213","4,838","5,148","6,237","7,831","8,538","9,003","9,885","10,351","10,742","11,040","10,842","10,831","10,409","9,389","8,775","8,475","7,853","7,726","7,884","7,333","8,152","8,410","8,951","8,652","8,590","7,702","7,615","7,359","7,633","8,078","8,449","8,587","8,517","8,403","8,022","8,293","7,238","7,072","7,342","7,682","6,878","8,102","7,867","8,956","8,574","7,969","7,683","7,165","7,002","7,085","5,555","5,780","4,753","4,188","4,524","4,216","4,110","3,884","2,654","2,664","2,467","2,634","2,315","1,937","1,637","1,458","1,124",955,872,673,487,373,324,217,167,115,90,44,92
서울특별시 구로구 (1153000000),"380,796","380,796","2,190","1,983","1,720","1,705","1,722","1,771","1,816","2,007","2,069","2,158","2,478","2,484","2,426","2,702","2,627","2,857","2,581","2,769","3,066","2,765","2,817","2,992","3,224","3,583","4,101","5,136","5,466","5,590","6,109","6,161","6,652","6,684","6,622","6,783","6,635","6,115","5,776","5,681","5,267","5,213","5,085","4,939","5,340","5,599","5,844","5,771","5,686","5,218","5,175","5,151","5,247","5,631","6,006","6,306","6,240","6,318","6,120","6,209","5,616","5,504","5,623","5,749","5,184","5,992","5,812","6,451","6,165","5,784","5,519","5,216","5,241","5,218","4,304","4,262","3,640","3,285","3,708","3,341","3,289","3,046","2,160","2,231","2,059","2,250","1,994","1,441","1,274","1,142",891,755,589,491,316,246,181,135,108,71,49,38,38
서울특별시 금천구 (1154500000),"221,562","221,562",891,825,701,748,735,735,775,837,910,963,"1,049","1,057","1,048","1,191","1,163","1,249","1,153","1,201","1,391","1,400","1,408","1,537","1,835","2,023","2,602","3,510","3,979","4,417","4,791","4,957","5,192","5,005","4,830","4,644","4,311","3,724","3,316","3,253","2,877","2,710","2,720","2,469","2,792","2,780","2,993","2,815","2,818","2,509","2,650","2,597","2,759","2,921","3,290","3,463","3,484","3,703","3,665","3,808","3,549","3,572","3,771","3,806","3,446","4,019","3,813","4,161","3,953","3,622","3,275","2,987","2,937","3,061","2,337","2,299","2,140","1,790","1,986","1,837","1,763","1,756","1,223","1,229","1,178","1,311","1,158",819,753,658,490,401,360,258,180,145,106,81,59,29,27,15,23
서울특별시 영등포구 (1156000000),"368,598","368,598","2,453","2,060","1,819","1,867","1,817","1,722","1,769","1,875","1,993","2,107","2,282","2,223","2,030","2,177","2,235","2,246","2,078","2,168","2,429","2,381","2,507","2,722","3,282","3,425","4,326","5,872","6,488","7,214","7,900","8,178","8,651","8,648","8,365","8,593","8,253","7,249","6,676","6,500","5,909","5,608","5,434","5,250","5,298","5,487","5,560","5,218","5,227","4,568","4,648","4,707","4,730","4,950","5,362","5,476","5,751","5,662","5,441","5,726","4,921","4,914","4,930","4,972","4,580","5,160","4,825","5,347","5,109","4,817","4,526","4,208","4,047","4,210","3,173","3,372","2,850","2,687","2,841","2,655","2,649","2,542","1,816","1,833","1,768","1,983","1,734","1,307","1,219","1,078",861,734,668,453,349,277,185,121,87,66,57,28,47
서울특별시 동작구 (1159000000),"369,852","369,852","1,943","1,648","1,524","1,484","1,513","1,534","1,680","1,802","1,916","2,053","2,372","2,335","2,149","2,383","2,321","2,554","2,298","2,430","2,870","3,320","3,472","3,957","4,680","5,175","5,760","6,993","7,121","7,250","7,435","7,362","7,394","7,280","6,925","6,919","6,641","5,963","5,518","5,272","5,085","4,862","4,839","4,672","4,930","5,275","5,454","5,251","5,361","4,787","4,682","4,909","5,005","5,309","5,725","5,796","6,082","5,982","5,828","5,887","5,133","4,957","4,904","5,036","4,671","5,105","4,976","5,425","5,383","4,844","4,752","4,304","4,287","4,311","3,420","3,575","3,154","2,761","3,013","2,900","2,989","2,909","2,015","2,081","1,891","2,160","1,940","1,428","1,285","1,149",884,826,618,498,355,281,175,153,119,83,46,39,50
서울특별시 관악구 (1162000000),"474,894","474,894","1,630","1,343","1,138","1,146","1,267","1,195","1,280","1,336","1,479","1,767","1,854","1,994","1,937","2,081","2,223","2,239","2,195","2,334","3,123","3,816","4,060","4,814","6,246","7,573","9,455","12,548","13,602","13,933","14,515","14,264","13,670","12,790","11,846","11,041","9,990","8,364","7,499","6,862","6,045","5,866","5,496","5,197","5,717","5,797","6,109","6,068","6,106","5,299","5,461","5,400","5,608","6,025","6,489","6,677","6,821","6,762","6,610","6,530","6,086","5,784","5,935","6,047","5,349","6,314","5,923","6,690","6,455","5,790","5,625","5,184","5,282","5,403","4,287","4,320","4,017","3,640","3,929","3,661","3,671","3,505","2,474","2,587","2,414","2,792","2,381","1,752","1,490","1,320","1,053",801,638,485,357,262,200,142,111,83,45,34,44
서울특별시 서초구 (1165000000),"410,939","410,939","2,083","2,076","1,941","2,159","2,471","2,559","2,843","3,224","3,298","3,649","4,207","4,355","4,492","4,932","4,656","4,811","4,629","4,473","4,740","4,372","3,965","4,137","4,154","4,080","4,238","4,943","5,140","5,319","5,561","5,627","5,878","5,843","5,754","5,794","5,923","5,529","5,373","5,611","5,472","5,821","5,853","5,944","6,859","7,095","7,834","7,785","7,815","6,965","7,145","7,040","7,104","7,129","7,519","7,437","7,301","7,338","6,844","6,291","5,653","5,006","5,053","5,042","4,694","4,847","4,784","4,942","4,897","4,727","4,640","4,449","4,246","4,284","3,642","3,548","2,922","2,722","3,021","2,818","2,886","2,635","1,949","1,883","1,714","1,856","1,641","1,201","1,105",939,774,692,540,453,337,264,196,155,98,97,66,29,62
서울특별시 강남구 (1168000000),"546,252","546,252","2,780","2,434","2,265","2,328","2,672","2,929","3,271","3,752","4,277","4,774","5,480","5,958","6,274","7,003","6,996","6,846","6,086","6,268","6,711","5,846","5,095","5,200","5,215","4,893","5,144","6,615","6,642","7,085","7,576","7,800","8,159","8,138","8,280","8,406","8,304","7,681","7,499","7,541","7,154","7,579","7,880","7,966","9,296","9,968","10,742","10,764","11,080","10,156","9,946","9,929","9,578","9,656","9,696","9,522","9,468","9,097","8,560","8,005","6,986","6,315","6,565","6,429","6,177","6,241","5,958","6,507","6,215","6,076","6,144","5,891","5,734","5,794","4,954","5,118","4,005","3,648","3,956","3,867","3,680","3,657","2,484","2,521","2,220","2,174","1,989","1,567","1,254","1,199",992,814,676,539,423,299,260,177,148,104,79,63,88
서울특별시 송파구 (1171000000),"646,319","646,319","3,673","3,352","2,927","3,302","3,648","3,897","4,186","4,504","4,771","5,425","5,842","5,762","5,530","6,142","5,947","6,026","5,478","5,491","5,945","5,431","5,145","5,433","5,744","5,717","6,546","8,088","8,778","9,063","10,039","10,552","11,290","11,111","11,499","11,378","11,326","10,396","10,012","10,052","9,736","9,751","9,934","9,712","10,540","11,261","11,654","11,325","11,108","9,903","9,473","9,287","9,336","9,724","10,097","10,210","10,482","10,548","9,856","10,087","9,127","8,433","8,925","8,821","8,144","9,284","8,789","9,739","9,241","8,547","8,414","7,816","7,699","7,846","6,040","6,241","4,982","4,535","4,664","4,389","4,273","4,094","2,758","2,714","2,500","2,602","2,308","1,701","1,488","1,291","1,139",912,823,661,519,383,286,198,164,133,83,55,86
서울특별시 강동구 (1174000000),"496,781","496,781","2,990","2,765","2,521","2,748","3,069","3,100","3,263","3,590","3,630","4,066","4,519","4,566","4,360","4,650","4,465","4,399","4,312","4,237","4,258","4,055","3,789","3,944","4,188","4,274","4,795","6,084","6,244","6,625","7,070","7,574","7,893","8,074","7,855","8,302","8,226","7,405","7,457","7,415","7,182","7,306","7,392","7,444","8,056","8,491","9,193","8,917","8,747","7,790","7,471","7,162","7,178","7,350","7,716","7,800","7,807","7,787","7,395","7,779","6,987","6,681","6,825","7,102","6,403","7,575","7,092","8,261","7,795","7,130","6,792","6,529","6,228","6,545","4,996","5,169","4,183","3,564","3,829","3,567","3,556","3,210","2,195","2,191","1,983","2,184","1,838","1,372","1,192",991,831,669,598,520,353,289,237,160,152,92,53,53,69
